Block,Res.id,Sp,Treat,Pair,sp.fit
A,C.a,OD,LA,A1,7.118247712
A,C.a,VG,LA,A2,6.67022299
A,C.a,AA,LA,A3,6.457890355
A,C.a,SR,LA,A4,7.167037877
A,C.a,PC,LA,A5,5.775438463
A,C.b,OD,LA,A6,6.859764795
A,C.b,VG,LA,A7,6.852544547
A,C.b,AA,LA,A8,6.036164726
A,C.b,SR,LA,A9,6.895104161
A,C.b,PC,LA,A10,5.257495372
B,C.c,OD,LA,A11,6.084173945
B,C.c,VG,LA,A12,6.687464796
B,C.c,AA,LA,A13,5.81711116
B,C.c,SR,LA,A14,7.314362591
B,C.c,PC,LA,A15,5.796491873
B,C.d,OD,LA,A16,6.307317496
B,C.d,VG,LA,A17,7.267625114
B,C.d,AA,LA,A18,5.985733872
B,C.d,SR,LA,A19,6.550263675
B,C.d,PC,LA,A20,5.359278066
C,C.e,OD,LA,A21,6.678881053
C,C.e,VG,LA,A22,7.084346161
C,C.e,AA,LA,A23,4.490240219
C,C.e,SR,LA,A24,5.391026764
C,C.e,PC,LA,A25,5.292586692
C,C.f,OD,LA,A26,6.269096283
C,C.f,VG,LA,A27,7.619023
C,C.f,AA,LA,A28,5.480638923
C,C.f,SR,LA,A29,7.309785924
C,C.f,PC,LA,A30,5.103344692
D,C.g,OD,LA,A31,6.881117919
D,C.g,VG,LA,A32,7.19829042
D,C.g,AA,LA,A33,NA
D,C.g,SR,LA,A34,6.753604599
D,C.g,PC,LA,A35,4.969813299
D,C.h,OD,LA,A36,6.114945604
D,C.h,VG,LA,A37,NA
D,C.h,AA,LA,A38,5.391026764
D,C.h,SR,LA,A39,6.929237168
D,C.h,PC,LA,A40,4.758504206
E,C.i,OD,LA,A41,5.81711116
E,C.i,VG,LA,A42,6.745572427
E,C.i,AA,LA,A43,5.614170316
E,C.i,SR,LA,A44,7.619023
E,C.i,PC,LA,A45,4.323186134
E,C.j,OD,LA,A46,6.307317496
E,C.j,VG,LA,A47,6.859764795
E,C.j,AA,LA,A48,6.002828306
E,C.j,SR,LA,A49,6.67022299
E,C.j,PC,LA,A50,5.588852508
F,C.k,OD,LA,A51,5.709480496
F,C.k,VG,LA,A52,6.859764795
F,C.k,AA,LA,A53,4.122515439
F,C.k,SR,LA,A54,7.534762657
F,C.k,PC,LA,A55,4.969813299
F,C.l,OD,LA,A56,6.201956981
F,C.l,VG,LA,A57,7.22859577
F,C.l,AA,LA,A58,5.709480496
F,C.l,SR,LA,A59,7.434679198
F,C.l,PC,LA,A60,3.717050331
A,C.a,OD,NU,A1,6.281999688
A,C.a,VG,NU,A2,6.489639053
A,C.a,AA,NU,A3,4.758504206
A,C.a,SR,NU,A4,5.914274908
A,C.a,PC,NU,A5,5.66296048
A,C.b,OD,NU,A6,6.281999688
A,C.b,VG,NU,A7,6.625771227
A,C.b,AA,NU,A8,2.618438042
A,C.b,SR,NU,A9,6.866933284
A,C.b,PC,NU,A10,5.5088098
B,C.c,OD,NU,A11,5.391026764
B,C.c,VG,NU,A12,6.737475217
B,C.c,AA,NU,A13,4.410197511
B,C.c,SR,NU,A14,7.19829042
B,C.c,PC,NU,A15,5.221127728
B,C.d,OD,NU,A16,6.215750303
B,C.d,VG,NU,A17,6.379638158
B,C.d,AA,NU,A18,4.815662619
B,C.d,SR,NU,A19,7.318918408
B,C.d,PC,NU,A20,4.227875955
C,C.e,OD,NU,A21,5.857116494
C,C.e,VG,NU,A22,6.344131469
C,C.e,AA,NU,A23,4.869729841
C,C.e,SR,NU,A24,7.156399478
C,C.e,PC,NU,A25,3.940193882
C,C.f,OD,NU,A26,5.914274908
C,C.f,VG,NU,A27,7.090076836
C,C.f,AA,NU,A28,3.871201011
C,C.f,SR,NU,A29,6.987885895
C,C.f,PC,NU,A30,5.221127728
D,C.g,OD,NU,A31,5.686490977
D,C.g,VG,NU,A32,7.59171755
D,C.g,AA,NU,A33,5.103344692
D,C.g,SR,NU,A34,7.049254841
D,C.g,PC,NU,A35,4.564348191
D,C.h,OD,NU,A36,6.35610766
D,C.h,VG,NU,A37,6.052425247
D,C.h,AA,NU,A38,4.815662619
D,C.h,SR,NU,A39,7.25316703
D,C.h,PC,NU,A40,2.618438042
E,C.i,OD,NU,A41,5.950642552
E,C.i,VG,NU,A42,7.151037535
E,C.i,AA,NU,A43,5.016333315
E,C.i,SR,NU,A44,6.769477948
E,C.i,PC,NU,A45,3.797093039
E,C.j,OD,NU,A46,6.036164726
E,C.j,VG,NU,A47,6.935926156
E,C.j,AA,NU,A48,5.796491873
E,C.j,SR,NU,A49,6.173786104
E,C.j,PC,NU,A50,4.17658266
F,C.k,OD,NU,A51,6.173786104
F,C.k,VG,NU,A52,6.859764795
F,C.k,AA,NU,A53,5.753932258
F,C.k,SR,NU,A54,6.457890355
F,C.k,PC,NU,A55,3.02390315
F,C.l,OD,NU,A56,6.173786104
F,C.l,VG,NU,A57,7.000464677
F,C.l,AA,NU,A58,5.016333315
F,C.l,SR,NU,A59,7.748336757
F,C.l,PC,NU,A60,4.633341063
