Block,Res.id,Sp,Treat,sp.fit,self.null
A,C.a,OD,LA,7.118247712,6.281999688
A,C.a,VG,LA,6.67022299,6.489639053
A,C.a,AA,LA,6.457890355,4.758504206
A,C.a,SR,LA,7.167037877,5.914274908
A,C.a,PC,LA,5.775438463,5.66296048
A,C.b,OD,LA,6.859764795,6.281999688
A,C.b,VG,LA,6.852544547,6.625771227
A,C.b,AA,LA,6.036164726,2.618438042
A,C.b,SR,LA,6.895104161,6.866933284
A,C.b,PC,LA,5.257495372,5.5088098
B,C.c,OD,LA,6.084173945,5.391026764
B,C.c,VG,LA,6.687464796,6.737475217
B,C.c,AA,LA,5.81711116,4.410197511
B,C.c,SR,LA,7.314362591,7.19829042
B,C.c,PC,LA,5.796491873,5.221127728
B,C.d,OD,LA,6.307317496,6.215750303
B,C.d,VG,LA,7.267625114,6.379638158
B,C.d,AA,LA,5.985733872,4.815662619
B,C.d,SR,LA,6.550263675,7.318918408
B,C.d,PC,LA,5.359278066,4.227875955
C,C.e,OD,LA,6.678881053,5.857116494
C,C.e,VG,LA,7.084346161,6.344131469
C,C.e,AA,LA,4.490240219,4.869729841
C,C.e,SR,LA,5.391026764,7.156399478
C,C.e,PC,LA,5.292586692,3.940193882
C,C.f,OD,LA,6.269096283,5.914274908
C,C.f,VG,LA,7.619023,7.090076836
C,C.f,AA,LA,5.480638923,3.871201011
C,C.f,SR,LA,7.309785924,6.987885895
C,C.f,PC,LA,5.103344692,5.221127728
D,C.g,OD,LA,6.881117919,5.686490977
D,C.g,VG,LA,7.19829042,7.59171755
D,C.g,AA,LA,NA,5.103344692
D,C.g,SR,LA,6.753604599,7.049254841
D,C.g,PC,LA,4.969813299,4.564348191
D,C.h,OD,LA,6.114945604,6.35610766
D,C.h,VG,LA,NA,6.052425247
D,C.h,AA,LA,5.391026764,4.815662619
D,C.h,SR,LA,6.929237168,7.25316703
D,C.h,PC,LA,4.758504206,2.618438042
E,C.i,OD,LA,5.81711116,5.950642552
E,C.i,VG,LA,6.745572427,7.151037535
E,C.i,AA,LA,5.614170316,5.016333315
E,C.i,SR,LA,7.619023,6.769477948
E,C.i,PC,LA,4.323186134,3.797093039
E,C.j,OD,LA,6.307317496,6.036164726
E,C.j,VG,LA,6.859764795,6.935926156
E,C.j,AA,LA,6.002828306,5.796491873
E,C.j,SR,LA,6.67022299,6.173786104
E,C.j,PC,LA,5.588852508,4.17658266
F,C.k,OD,LA,5.709480496,6.173786104
F,C.k,VG,LA,6.859764795,6.859764795
F,C.k,AA,LA,4.122515439,5.753932258
F,C.k,SR,LA,7.534762657,6.457890355
F,C.k,PC,LA,4.969813299,3.02390315
F,C.l,OD,LA,6.201956981,6.173786104
F,C.l,VG,LA,7.22859577,7.000464677
F,C.l,AA,LA,5.709480496,5.016333315
F,C.l,SR,LA,7.434679198,7.748336757
F,C.l,PC,LA,3.717050331,4.633341063
