ID,Coev,prod,fit,Sp
C.A,Y,6.925202192,5.981414211,PC
C.B,Y,6.544199574,4.882801922,PC
C.C,Y,6.667465569,5.545177444,PC
C.D,Y,6.575912311,5.429345629,PC
C.E,Y,6.471418507,6.190315406,PC
C.F,Y,6.678593655,5.480638923,PC
C.G,Y,6.771706434,6.356107661,PC
C.H,Y,6.281144622,6.068425588,PC
C.I,Y,6.655182917,5.97126184,PC
C.J,Y,6.191953408,6.950814768,PC
C.K,Y,7.126730153,4.276666119,PC
C.L,Y,6.987674902,3.688879454,PC
N.A,N,6.790771923,5.375278408,PC
N.B,N,6.974291803,5.257495372,PC
N.C,N,6.698514633,5.886104031,PC
N.D,N,6.601230119,5.33753808,PC
N.E,N,6.213006817,2.772588722,PC
N.F,N,6.647947743,5.298317366,PC
N.G,N,6.51025834,4.382026635,PC
N.H,N,6.595780514,3.583518938,PC
N.I,N,6.704414355,4.852030264,PC
N.K,N,6.746647118,4.912654886,PC
N.L,N,6.803283257,4.912654886,PC
C.A,Y,6.925202192,7.67971364,SR
C.B,Y,6.544199574,7.226936018,SR
C.C,Y,6.667465569,7.719573989,SR
C.D,Y,6.575912311,7.106606138,SR
C.E,Y,6.471418507,7.38274645,SR
C.F,Y,6.678593655,7.33171497,SR
C.G,Y,6.771706434,7.852439085,SR
C.H,Y,6.281144622,7.069874128,SR
C.I,Y,6.655182917,7.468513271,SR
C.J,Y,6.191953408,6.694562058,SR
C.K,Y,7.126730153,7.860185057,SR
C.L,Y,6.987674902,7.588829878,SR
N.A,N,6.790771923,7.283448229,SR
N.B,N,6.974291803,7.838343315,SR
N.C,N,6.698514633,7.006695227,SR
N.D,N,6.601230119,6.850126166,SR
N.E,N,6.213006817,6.206575927,SR
N.F,N,6.647947743,7.454719949,SR
N.G,N,6.51025834,6.907755279,SR
N.H,N,6.595780514,7.560080465,SR
N.I,N,6.704414355,7.436027816,SR
N.K,N,6.746647118,7.572502985,SR
N.L,N,6.803283257,7.564238475,SR
C.A,Y,6.925202192,5.780743516,AA
C.B,Y,6.544199574,5.730099783,AA
C.C,Y,6.667465569,5.690359454,AA
C.D,Y,6.575912311,5.429345629,AA
C.E,Y,6.471418507,4.644390899,AA
C.F,Y,6.678593655,5.755742213,AA
C.G,Y,6.771706434,5.393627546,AA
C.H,Y,6.281144622,5.049856007,AA
C.I,Y,6.655182917,5.33753808,AA
C.J,Y,6.191953408,5.375278408,AA
C.K,Y,7.126730153,5.513428746,AA
C.L,Y,6.987674902,5.886104031,AA
N.A,N,6.790771923,6.190315406,AA
N.B,N,6.974291803,5.793013608,AA
N.C,N,6.698514633,5.411646052,AA
N.D,N,6.601230119,5.950642552,AA
N.E,N,6.213006817,4.969813299,AA
N.F,N,6.647947743,5.66296048,AA
N.G,N,6.51025834,5.023880521,AA
N.H,N,6.595780514,5.446737372,AA
N.I,N,6.704414355,4.477336814,AA
N.K,N,6.746647118,5.690359454,AA
N.L,N,6.803283257,5.170483995,AA
C.A,Y,6.925202192,7.142036575,VG
C.B,Y,6.544199574,6.766191715,VG
C.C,Y,6.667465569,6.165417854,VG
C.D,Y,6.575912311,6.903747257,VG
C.E,Y,6.471418507,6.104793232,VG
C.F,Y,6.678593655,7.160845907,VG
C.G,Y,6.771706434,5.81711116,VG
C.H,Y,6.281144622,5.991464547,VG
C.I,Y,6.655182917,7.02464903,VG
C.J,Y,6.191953408,4.912654886,VG
C.K,Y,7.126730153,7.714231145,VG
C.L,Y,6.987674902,7.555905094,VG
N.A,N,6.790771923,7.056175284,VG
N.B,N,6.974291803,7.412160335,VG
N.C,N,6.698514633,7.412160335,VG
N.D,N,6.601230119,7.261225092,VG
N.E,N,6.213006817,6.875232087,VG
N.F,N,6.647947743,7.076653815,VG
N.G,N,6.51025834,7.272398392,VG
N.H,N,6.595780514,6.65415252,VG
N.I,N,6.704414355,7.336936914,VG
N.K,N,6.746647118,7.021083964,VG
N.L,N,6.803283257,7.042286172,VG
C.A,Y,6.925202192,6.845879875,OD
C.B,Y,6.544199574,6.674561392,OD
C.C,Y,6.667465569,6.480044562,OD
C.D,Y,6.575912311,6.820016365,OD
C.E,Y,6.471418507,6.369900983,OD
C.F,Y,6.678593655,6.403574198,OD
C.G,Y,6.771706434,6.492239835,OD
C.H,Y,6.281144622,6.230481447,OD
C.I,Y,6.655182917,6.011267174,OD
C.J,Y,6.191953408,5.480638923,OD
C.K,Y,7.126730153,6.977281342,OD
C.L,Y,6.987674902,7.028201432,OD
N.A,N,6.790771923,7.028201432,OD
N.B,N,6.974291803,6.448889394,OD
N.C,N,6.698514633,6.568077911,OD
N.D,N,6.601230119,6.579251212,OD
N.E,N,6.213006817,6.770789424,OD
N.F,N,6.647947743,6.122492809,OD
N.G,N,6.51025834,6.533788838,OD
N.H,N,6.595780514,6.54534966,OD
N.I,N,6.704414355,6.448889394,OD
N.K,N,6.746647118,6.633318433,OD
N.L,N,6.803283257,7.021083964,OD
